humidity,temp,dew,solar,zone
89.7,-2.2,-3.8,3.7,2a
90.3,-3.3,-4.3,2.6,2a
87.7,0.9,-1,1.7,2b
88.9,-1.2,-1.3,0.9,2b
96.6,1.5,1,1.9,3a
95.9,1.1,0.7,0.9,3a
87.8,4.6,0.9,1.8,3b
88.6,5.6,1.4,2.4,3b
66.1,9.7,6.1,5.6,4a
68,9.6,5.8,5.4,4a
67.4,10.7,5.4,6.3,4b
64.2,11.4,6.5,6.6,4b
71.7,11.9,6.6,6.8,5a
68.4,12.4,6.4,7.2,5a
67.9,11.6,7.3,9.9,5b
66.2,11.9,8.8,9.8,5b
69.3,14.6,10.6,12.1,6a
70.3,14.3,8.9,13.2,6a
65.9,16.4,8.1,14.3,6b
66.3,16.6,10.3,14.7,6b
70.2,20.5,13.4,14.4,7a
65.8,20.3,14,15.5,7a
47.5,18.8,4.5,9.4,7b
55.1,21.3,15.8,16.7,7b
54.4,13.4,9.2,20.8,8a
56.7,16.4,15.4,16.7,8a
67.7,17.4,6.5,9.5,8b
66.2,15.7,7.2,8.7,8b
73,17.6,12.6,17.5,9a
70.2,19.2,12.3,16.2,9a
54,21.6,0.1,16.7,9b
50.2,20.4,0.7,17.4,9b
60.5,21,1.2,19.1,10a
60.9,20.5,2.4,23.6,10a
50.1,21.6,0.5,20.1,10b
48.3,23.2,0.6,21.1,10b
54.2,23.1,5.6,30.2,11a
67.2,24.2,7.9,40.1,11b
64.3,25.3,7.2,9.4,12a
69.4,27.4,10.5,17.6,13a
60.2,28.9,8.2,18.4,13b
